"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
77, 1.108499988910000e-01, -4.856066993422563e-02, 2.116423696118149e-02, -1.541976615221108e-01, 1.832609149258899e-01, 5.983949111103185e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.423529452737717e-04
78, 1.011300012470000e-01, -4.701715290498424e-02, 2.086544303424178e-02, -1.492957250799541e-01, 2.005617194086246e-01, 5.906167372092123e-03, 0.000000000000000e+00, 0.000000000000000e+00, -3.128767557975079e-04
79, 9.181000292300000e-02, -4.538527151431038e-02, 2.046370851165703e-02, -1.431633055252570e-01, 2.189102188721486e-01, 5.800158848209775e-03, 0.000000000000000e+00, 0.000000000000000e+00, -4.428175803389673e-04
80, 8.290000259900000e-02, -4.366791468532204e-02, 1.993704339681788e-02, -1.355427846831015e-01, 2.384441219263145e-01, 5.663215650670719e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.365104850182861e-05
81, 7.440000027400000e-02, -4.186607976498817e-02, 1.928530055451323e-02, -1.263255658447364e-01, 2.592761176789342e-01, 5.486714353819908e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.276769896751431e-04
82, 6.633000075800000e-02, -3.998513962421356e-02, 1.847222632720834e-02, -1.151039571920399e-01, 2.815100759892268e-01, 5.268640904629394e-03, 0.000000000000000e+00, 0.000000000000000e+00, -7.860294376678422e-05
83, 5.869000032500000e-02, -3.802635805630503e-02, 1.745631208507793e-02, -1.013860714707009e-01, 3.052380563923019e-01, 4.999326400087607e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.439645607183424e-05
84, 5.149000138000000e-02, -3.599337852580232e-02, 1.618550866949235e-02, -8.455031897317342e-02, 3.305400478079418e-01, 4.665990764643265e-03, 0.000000000000000e+00, 0.000000000000000e+00, 5.823129416554786e-04
85, 4.473999887700000e-02, -3.389028465845557e-02, 1.461822156206880e-02, -6.398030967082483e-02, 3.575322694819409e-01, 4.255515698676651e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.839366648593726e-04
86, 3.844000026600000e-02, -3.171811260404538e-02, 1.266514974438718e-02, -3.862902807691680e-02, 3.861666751654327e-01, 3.750201425404120e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.350812268108960e-03
87, 3.260000050100000e-02, -2.948109446637338e-02, 1.022918417006045e-02, -7.261434801415778e-03, 4.162982644897324e-01, 3.130503771956806e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.574261570389962e-03
