"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,         186,      -8.317350998,      -7.453220376,      -8.031481527,                 0,      -8.291132705
          0,           0,         187,      -8.322888155,      -7.457874493,      -8.036600237,                 0,      -8.294387004
          0,           0,         188,      -8.328227755,      -7.462513968,      -8.041103473,                 0,      -8.297676739
          0,           0,         189,      -8.333396695,      -7.467134745,      -8.045053097,                 0,      -8.300969402
          0,           0,         190,      -8.338435853,        -7.4717307,      -8.048545011,                 0,      -8.304248721
          0,           0,         191,      -8.343394885,      -7.476294871,      -8.051697946,                 0,      -8.307511235
          0,           0,         192,      -8.348324196,      -7.480820796,      -8.054643257,                 0,      -8.310762247
          0,           0,         193,      -8.353267411,      -7.485303633,      -8.057511741,                 0,      -8.314013102
          0,           0,         194,       -8.35825531,       -7.48974034,      -8.060419309,                 0,      -8.317275962
          0,           0,         195,      -8.363301862,      -7.494129386,      -8.063456432,                 0,      -8.320558131
          0,           0,         196,      -8.368403771,      -7.498470764,      -8.066682577,                 0,      -8.323860431
          0,           0,         197,      -8.373543678,      -7.502766332,       -8.07012416,                 0,      -8.327179149
          0,           0,         198,      -8.378695687,      -7.507020033,      -8.073775468,                 0,      -8.330508325
          0,           0,         199,      -8.383831815,      -7.511237919,      -8.077603055,                 0,      -8.333841421
          0,           0,         200,       -8.38892821,      -7.515428014,      -8.081553427,                 0,      -8.337173034
          0,           0,         201,      -8.393969952,      -7.519599987,      -8.085562556,                 0,       -8.34050055
          0,           0,         202,      -8.398953545,      -7.523764577,      -8.089565417,                 0,      -8.343825041
          0,           0,         203,      -8.403886854,      -7.527932827,      -8.093504102,                 0,      -8.347151137
          0,           0,         204,      -8.408786803,      -7.532115339,      -8.097333651,                 0,      -8.350486179
          0,           0,         205,       -8.41367555,       -7.53632166,      -8.101025219,                 0,      -8.353839131
          0,           0,         206,      -8.418576051,      -7.540559886,      -8.104566698,                 0,      -8.357219555
          0,           0,         207,      -8.423507924,      -7.544836528,      -8.107961287,                 0,      -8.360636824
          0,           0,         208,      -8.428484313,      -7.549156585,      -8.111224747,                 0,       -8.36409955
          0,           0,         209,      -8.433510166,      -7.553523761,      -8.114382095,                 0,      -8.367615211
          0,           0,         210,      -8.438582058,      -7.557940734,      -8.117464364,                 0,      -8.371189985
          0,           0,         211,      -8.443689441,      -7.562409425,      -8.120505729,                 0,      -8.374828784
          0,           0,         212,      -8.448816955,      -7.566931236,      -8.123541073,                 0,      -8.378535406
          0,           0,         213,      -8.453947358,      -7.571507225,      -8.126603886,                 0,      -8.382312725
          0,           0,         214,      -8.459064552,       -7.57613824,      -8.129724481,                 0,      -8.386162874
          0,           0,         215,      -8.464156258,      -7.580825005,      -8.132928507,                 0,      -8.390087396
          0,           0,         216,      -8.469215953,      -7.585568204,      -8.136235819,                 0,      -8.394087389
          0,           0,         217,      -8.474243873,       -7.59036855,       -8.13965979,                 0,      -8.398163622
          0,           0,         218,      -8.479247009,      -7.595226841,       -8.14320714,                 0,      -8.402316629
          0,           0,         219,      -8.484238206,      -7.600144011,      -8.146878318,                 0,      -8.406546775
          0,           0,         220,      -8.489234604,      -7.605121144,      -8.150668402,                 0,       -8.41085431
          0,           0,         221,      -8.494255694,      -7.610159472,      -8.154568404,                 0,      -8.415239416
          0,           0,         222,      -8.499321331,       -7.61526034,      -8.158566811,                 0,      -8.419702244
          0,           0,         223,      -8.504449947,      -7.620425153,      -8.162651161,                 0,      -8.424242946
          0,           0,         224,      -8.509657181,       -7.62565531,      -8.166809504,                 0,      -8.428861695
          0,           0,         225,      -8.514955016,      -7.630952139,      -8.171031586,                 0,      -8.433558686
          0,           0,         226,      -8.520351442,      -7.636316837,      -8.175309699,                 0,      -8.438334121
          0,           0,         227,      -8.525850594,      -7.641750425,      -8.179639144,                 0,      -8.443188184
          0,           0,         228,      -8.531453237,      -7.647253718,       -8.18401834,                 0,         -8.448121
          0,           0,         229,      -8.537157475,      -7.652827308,      -8.188448622,                 0,      -8.453132578
          0,           0,         230,      -8.542959553,      -7.658471555,      -8.192933784,                 0,      -8.458222768
          0,           0,         231,      -8.548854621,      -7.664186594,      -8.197479454,                 0,      -8.463391213
          0,           0,         232,      -8.554837379,      -7.669972338,      -8.202092359,                 0,      -8.468637322
          0,           0,         233,      -8.560902569,      -7.675828499,      -8.206779576,                 0,      -8.473960262
          0,           0,         234,      -8.567045284,        -7.6817546,      -8.211547813,                 0,      -8.479358974
          0,           0,         235,      -8.573261105,      -7.687750009,      -8.216402787,                 0,      -8.484832209
          0,           0,         236,      -8.579546131,      -7.693813966,      -8.221348752,                 0,      -8.490378577
          0,           0,         237,      -8.585896906,      -7.699945617,      -8.226388193,                 0,      -8.495996612
          0,           0,         238,       -8.59231032,       -7.70614405,      -8.231521711,                 0,      -8.501684833
          0,           0,         239,      -8.598783507,       -7.71240833,      -8.236748079,                 0,      -8.507441805
          0,           0,         240,      -8.605313771,      -7.718737528,      -8.242064456,                 0,      -8.513266185
          0,           0,         241,      -8.611898556,       -7.72513074,       -8.24746671,                 0,      -8.519156764
          0,           0,         242,      -8.618535456,      -7.731587103,      -8.252949816,                 0,      -8.525112483
          0,           0,         243,       -8.62522227,      -7.738105802,       -8.25850828,                 0,      -8.531132448
          0,           0,         244,      -8.631957074,      -7.744686066,      -8.264136553,                 0,      -8.537215923
          0,           0,         245,      -8.638738306,      -7.751327159,      -8.269829395,                 0,      -8.543362318
          0,           0,         246,      -8.645564845,      -7.758028374,      -8.275582177,                 0,      -8.549571172
          0,           0,         247,      -8.652436056,      -7.764789014,        -8.2813911,                 0,      -8.555842119
          0,           0,         248,      -8.659351824,      -7.771608382,       -8.28725333,                 0,      -8.562174858
          0,           0,         249,      -8.666312529,      -7.778485765,      -8.293167051,                 0,      -8.568569116
          0,           0,         250,      -8.673319007,      -7.785420427,      -8.299131434,                 0,      -8.575024604
          0,           0,         251,       -8.68037247,      -7.792411593,      -8.305146543,                 0,      -8.581540979
          0,           0,         252,      -8.687474402,      -7.799458451,      -8.311213184,                 0,      -8.588117805
          0,           0,         253,      -8.694626455,      -7.806560142,      -8.317332714,                 0,      -8.594754519
          0,           0,         254,      -8.701830329,      -7.813715763,      -8.323506832,                 0,      -8.601450403
          0,           0,         255,      -8.709087668,      -7.820924369,      -8.329737356,                 0,      -8.608204578
          0,           0,         256,      -8.716399961,      -7.828184977,      -8.336026024,                 0,      -8.615015992
          0,           0,         257,      -8.723768473,       -7.83549658,      -8.342374316,                 0,      -8.621883438
          0,           0,         258,      -8.731194182,      -7.842858153,      -8.348783319,                 0,      -8.628805572
          0,           0,         259,      -8.738677748,      -7.850268667,      -8.355253638,                 0,      -8.635780945
          0,           0,         260,      -8.746219492,      -7.857727098,      -8.361785354,                 0,      -8.642808041
          0,           0,         261,      -8.753819398,      -7.865232443,      -8.368378036,                 0,      -8.649885315
          0,           0,         262,      -8.761477122,      -7.872783725,      -8.375030781,                 0,      -8.657011235
          0,           0,         263,      -8.769192015,      -7.880380004,      -8.381742293,                 0,      -8.664184317
          0,           0,         264,       -8.77696315,      -7.888020381,      -8.388510981,                 0,      -8.671403154
          0,           0,         265,      -8.784789357,         -7.895704,      -8.395335062,                 0,      -8.678666442
          0,           0,         266,       -8.79266926,      -7.903430053,      -8.402212665,                 0,      -8.685972996
          0,           0,         267,      -8.800601319,      -7.911197773,      -8.409141928,                 0,       -8.69332176
          0,           0,         268,      -8.808583867,      -7.919006438,      -8.416121081,                 0,      -8.700711804
          0,           0,         269,      -8.816615155,      -7.926855364,      -8.423148505,                 0,       -8.70814233
          0,           0,         270,      -8.824693394,      -7.934743901,       -8.43022278,                 0,      -8.715612655
          0,           0,         271,      -8.832816789,      -7.942671433,      -8.437342709,                 0,      -8.723122208
          0,           0,         272,      -8.840983584,      -7.950637369,       -8.44450732,                 0,      -8.730670508
          0,           0,         273,      -8.849192086,      -7.958641144,      -8.451715864,                 0,      -8.738257158
          0,           0,         274,      -8.857440698,      -7.966682213,      -8.458967781,                 0,      -8.745881821
          0,           0,         275,      -8.865727939,      -7.974760049,       -8.46626268,                 0,      -8.753544212
          0,           0,         276,      -8.874052462,      -7.982874144,      -8.473600291,                 0,      -8.761244077
          0,           0,         277,      -8.882413067,      -7.991024001,       -8.48098043,                 0,      -8.768981187
          0,           0,         278,      -8.890808705,      -7.999209144,      -8.488402958,                 0,      -8.776755317
          0,           0,         279,      -8.899238485,      -8.007429108,      -8.495867746,                 0,      -8.784566245
          0,           0,         280,      -8.907701674,      -8.015683444,      -8.503374645,                 0,      -8.792413737
