"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         165,      -5.078699466,      -2.921891915,      -2.524166909,      0.4026650996,      -7.049694534
          0,           0,         166,      -5.085349992,      -2.919039929,      -2.502972652,      0.3958595587,      -7.049266631
          0,           0,         167,      -5.101643051,      -2.916382928,      -2.525748097,      0.3794218188,      -7.048822458
          0,           0,         168,      -5.108914332,      -2.912879009,      -2.498522014,      0.3719938714,      -7.048391683
          0,           0,         169,      -5.119410894,      -2.911111658,      -2.507326824,      0.3613384181,       -7.04797515
          0,           0,         170,      -5.133744194,      -2.910556329,      -2.510155524,      0.3468923642,      -7.047568391
          0,           0,         171,      -5.138737671,      -2.910392633,      -2.505409927,      0.3417965882,      -7.047177633
          0,           0,         172,      -5.141280518,      -2.912577696,      -2.501511735,      0.3392019013,      -7.046842867
          0,           0,         173,      -5.152966711,      -2.916617735,      -2.523721015,       0.327517373,      -7.046537779
          0,           0,         174,      -5.148025803,      -2.921006043,      -2.508354635,      0.3324920847,        -7.0462703
          0,           0,         175,      -5.143856282,      -2.927045482,       -2.51260041,      0.3367334359,      -7.046055084
          0,           0,         176,      -5.147427072,      -2.935239589,      -2.532168359,      0.3332738595,      -7.045891768
          0,           0,         177,      -5.141685593,      -2.942891021,      -2.528370466,      0.3391369739,      -7.045781167
          0,           0,         178,      -5.132291073,      -2.951563407,      -2.531210848,      0.3486164369,      -7.045752416
          0,           0,         179,      -5.123205659,      -2.960340605,      -2.559850662,      0.3577583913,      -7.045781208
          0,           0,         180,      -5.110756726,      -2.964857532,      -2.545566046,      0.3702966364,      -7.045868793
          0,           0,         181,       -5.10590365,      -2.970141035,      -2.556466745,      0.3752457817,      -7.046019694
          0,           0,         182,      -5.104844472,      -2.976276136,      -2.570101978,      0.3763436043,      -7.046232325
          0,           0,         183,      -5.102223741,      -2.980201877,      -2.573861747,      0.3789949998,      -7.046499565
          0,           0,         184,      -5.095315728,      -2.983451735,       -2.55978916,      0.3858309612,      -7.046835776
          0,           0,         185,      -5.108540973,      -2.984741853,      -2.591086366,      0.3726620886,      -7.047207357
          0,           0,         186,       -5.11242459,      -2.984662351,      -2.565381152,      0.3687703982,      -7.047620811
          0,           0,         187,       -5.11495593,      -2.980727195,      -2.578928356,      0.3661266096,      -7.048084514
          0,           0,         188,      -5.124969461,      -2.978385284,      -2.559916428,      0.3560619419,      -7.048575079
          0,           0,         189,      -5.131120608,      -2.975864215,      -2.582617799,      0.3497908397,      -7.049086788
          0,           0,         190,      -5.137434714,      -2.967953882,      -2.546245296,      0.3434430406,      -7.049638556
          0,           0,         191,      -5.159347088,       -2.96691019,      -2.582318969,      0.3214568547,      -7.050186614
          0,           0,         192,      -5.160617882,      -2.960967874,      -2.548752674,      0.3201103434,      -7.050741209
          0,           0,         193,       -5.17300138,      -2.960113134,      -2.568211185,      0.3076797081,      -7.051297012
          0,           0,         194,      -5.184210643,      -2.960542914,        -2.5583024,      0.2964718843,        -7.0518198
          0,           0,         195,       -5.18761819,      -2.961139722,      -2.563620868,      0.2930879206,      -7.052323318
